Train_scale,Time_advanced,Weights,Accuracy,Precision,Recall
500ms,500,1',98.46,74.51,74.26
500ms,500,10',97.62,56.22,94.84
500ms,500,50',96.09,43.28,96.89
500ms,700,1',96.91,62.5,6.9
500ms,700,10',93.13,29.13,81.15
500ms,700,50',81.65,14.37,96.34
500ms,900,1',96.74,59.04,3.94
500ms,900,10',89.76,17.83,58.15
500ms,900,50',68.85,8.86,90.76
500ms,1100,1',96.58,0,0
500ms,1100,10',92.48,20.07,40.32
500ms,1100,50',58.5,6.96,90.16
500ms,1300,1',96.49,0,0
500ms,1300,10',91.23,17.37,39.92
500ms,1300,50',45.17,5.51,90.6
1000ms,500,1',98.02,76.9,94.01
1000ms,500,10',96.53,62.84,97.82
1000ms,500,50',93.14,45.71,99.19
1000ms,700,1',95.4,64.56,47.9
1000ms,700,10',90.43,37.18,91.59
1000ms,700,50',82.47,24.9,98.52
1000ms,900,1',94.27,54.76,19.27
1000ms,900,10',85.15,25.32,77.14
1000ms,900,50',66.3,14.5,95.56
1000ms,1100,1',93.97,49.02,6.36
1000ms,1100,10',85.77,23.43,60.25
1000ms,1100,50',51.58,10.5,93.81
1000ms,1300,1',93.95,52,4.51
1000ms,1300,10',80.62,18.67,65.33
1000ms,1300,50',47.92,9.75,91.77
1500ms,500,1',98.48,83.11,95.77
1500ms,500,10',96.92,67.75,99.15
1500ms,500,50',94.66,54.58,99.41
1500ms,700,1',95.59,67.77,63.72
1500ms,700,10',91.76,44.17,92.42
1500ms,700,50',83,27.84,98.48
1500ms,900,1',93.91,60.95,28.16
1500ms,900,10',86.17,30.04,78.25
1500ms,900,50',72.57,18.98,93.17
1500ms,1100,1',93.32,17.55,56.68
1500ms,1100,10',80.2,22.63,76.2
1500ms,1100,50',55.2,12.82,93.75
1500ms,1300,1',93.03,56.78,9.61
1500ms,1300,10',79.13,21.19,70.89
1500ms,1300,50',53.26,12.4,91.65
2000ms,500,1',97.83,89.72,96.12
2000ms,500,10',97.27,85.05,98.65
2000ms,500,50',95.37,75.96,99.84
2000ms,700,1',93.55,76.3,82.84
2000ms,700,10',91.24,64.17,94.57
2000ms,700,50',86.69,53.12,97.71
2000ms,900,1',89.92,62.24,68.82
2000ms,900,10',81.86,45.33,90.52
2000ms,900,50',72.18,35.12,96.84
2000ms,1100,1',88.49,69.44,46.42
2000ms,1100,10',74.07,36.41,89.5
2000ms,1100,50',59.09,26.98,95.62
2000ms,1300,1',87.24,66.99,37.71
2000ms,1300,10',67.52,31.3,88.63
2000ms,1300,50',49.76,23.52,97.03
