Time_advanced,Velocity,Weights,Accuracy,Precision,Recall
300,Calculated,1',99.59,90.65,95.53
300,Calculated,10',98.8,70.44,99.83
300,Calculated,50',98.67,68.37,99.83
300,Calculated,100',96.72,46.62,100
300,Original,1',99.66,92.08,96.27
300,Original,10',99.66,90.49,98.43
300,Original,50',98.45,64.83,99.83
300,Original,100',97.35,51.87,99.92
500,Calculated,1',97.73,57.92,86.64
500,Calculated,10',97.19,51.76,95.41
500,Calculated,50',93.89,32.9,99.18
500,Calculated,100',92.58,28.75,99.18
500,Original,1',98.46,74.51,74.26
500,Original,10',97.62,56.22,94.84
500,Original,50',96.09,43.28,96.89
500,Original,100',92.04,27.34,99.26
700,Calculated,1',96.75,45.16,12.51
700,Calculated,10',94.23,34.39,84.89
700,Calculated,50',83.63,15.77,95.69
700,Calculated,100',77,11.95,98.05
700,Original,1',96.91,62.5,6.9
700,Original,10',93.13,29.13,81.15
700,Original,50',81.65,14.37,96.34
700,Original,100',78.44,12.69,98.38
900,Calculated,1',96.74,60,4.34
900,Calculated,10',90.42,19.17,58.99
900,Calculated,50',68.12,8.81,92.53
900,Calculated,100',48.17,5.83,96.87
900,Original,1',96.74,59.04,3.94
900,Original,10',89.76,17.83,58.15
900,Original,50',68.85,8.86,90.76
900,Original,100',59.44,7.21,94.94
1100,Calculated,1',96.58,0,0
1100,Calculated,10',91.86,18.63,41.04
1100,Calculated,50',55.91,6.64,91.2
1100,Calculated,100',42.1,5.3,94.56
1100,Original,1',96.58,0,0
1100,Original,10',92.48,20.07,40.32
1100,Original,50',58.5,6.96,90.16
1100,Original,100',36.11,4.94,97.04
1300,Calculated,1',96.49,0,0
1300,Calculated,10',91.57,17.91,39.12
1300,Calculated,50',48.44,5.74,88.84
1300,Calculated,100',27.11,4.46,96.79
1300,Original,1',96.49,0,0
1300,Original,10',91.23,17.37,39.92
1300,Original,50',45.17,5.51,90.6
1300,Original,100',28.96,4.57,96.87
1500,Calculated,1',96.4,0,0
1500,Calculated,10',91.73,18.33,37.49
1500,Calculated,50',63.49,7.28,77.83
1500,Calculated,100',28.42,4.57,94.95
1500,Original,1',96.4,0,0
1500,Original,10',90.62,16.96,41.16
1500,Original,50',52.87,6.15,84.68
1500,Original,100',29.25,4.59,94.13
1700,Calculated,1',96.39,66.67,0.17
1700,Calculated,10',89.05,14.71,42.35
1700,Calculated,50',49,5.8,86.13
1700,Calculated,100',24.73,4.39,95.55
1700,Original,1',96.39,0,0
1700,Original,10',89.56,14.65,39.16
1700,Original,50',45.31,5.63,89.66
1700,Original,100',23.66,4.36,96.22
1900,Calculated,1',96.35,0,0
1900,Calculated,10',90.43,16.21,38.92
1900,Calculated,50',42.41,5.47,90.81
1900,Calculated,100',18.06,4.22,98.8
1900,Original,1',96.35,0,0
1900,Original,10',90.65,16.57,38.75
1900,Original,50',38.21,5.17,91.84
1900,Original,100',19.04,4.21,97.42
