timeahead,p85r,p85r_std,p90r,p90r_std,p95r,p95r_std,p99r,p99r_std,AUC,
300,0.98007223,0.01378273,0.95876676,0.02891659,0.9201727,0.04982214,0.74497891,0.24888445,0.99976136,0.00012992
400,0.98105621,0.00904982,0.9610907,0.02033495,0.91675858,0.02906764,0.78163032,0.05421987,0.99964032,0.00014779
500,0.93235269,0.03408831,0.88678164,0.04450562,0.80975413,0.04736989,0.63048564,0.04045537,0.99884976,0.00035846
600,0.91798991,0.02311307,0.86036174,0.02719879,0.76468577,0.02619928,0.53358594,0.03917372,0.99815274,0.00027482
700,0.82736394,0.04697673,0.75561622,0.04562615,0.63337467,0.03209492,0.40178075,0.03816593,0.99570793,0.00075244
800,0.766496,0.0157833,0.67715463,0.01693454,0.54323149,0.02033056,0.31029491,0.01853368,0.99279012,0.00061955
900,0.66648774,0.01398083,0.565856,0.01761802,0.42527291,0.02438077,0.23772679,0.01788727,0.98720252,0.00085681
1000,0.58181621,0.02172026,0.48291976,0.02117912,0.34767809,0.01836191,0.19298707,0.01526167,0.98009371,0.00187918
1100,0.50514811,0.0278653,0.40964445,0.02476502,0.2955653,0.01899342,0.17503029,0.02072042,0.97186054,0.00264445
1200,0.45777936,0.02069334,0.3721921,0.01577985,0.26771246,0.01631803,0.15510732,0.00848654,0.96400005,0.00224935
