timeahead,1:1,1:1_std,balanced,balanced_std,1:10,1:10_std,1:50,1:50_std
300,0.91875458,0.03567144,0.64928632,0.10946396,0.83670165,0.08438696,0.70587846,0.09426849
400,0.93260112,0.01328983,0.74841983,0.05674784,0.86415563,0.0418223,0.78594689,0.04966142
500,0.88585845,0.02509043,0.74770878,0.05231537,0.81317216,0.0555763,0.70455883,0.04745906
600,0.88159316,0.01255986,0.71620319,0.03608265,0.80175505,0.03505252,0.68086527,0.03400753
700,0.83965625,0.02192421,0.66019187,0.02329789,0.74248458,0.02530694,0.59594234,0.03238914
800,0.81064301,0.00907873,0.62556107,0.02064168,0.69638623,0.02985545,0.53946729,0.0326526
900,0.77470339,0.00790047,0.58089902,0.03303124,0.64586863,0.02640334,0.46634215,0.03749515
1000,0.73593163,0.00650574,0.56378325,0.02629997,0.62021851,0.0219044,0.43198109,0.01813924
1100,0.68763559,0.02838329,0.54158058,0.02162268,0.59278216,0.02364864,0.40158609,0.02867006
1200,0.66671983,0.01257184,0.52377098,0.01747363,0.55191458,0.01776579,0.37068782,0.0147868
