timeahead,1:1,1:1_std,balanced,balanced_std,1:10,1:10_std,1:50,1:50_std
300,0.9201727,0.04982214,0.74187077,0.14792539,0.84954546,0.09675257,0.79974456,0.09838041
400,0.91675858,0.02906764,0.80363793,0.08864817,0.88229594,0.0562577,0.87201108,0.03786197
500,0.80975413,0.04736989,0.77899024,0.07250903,0.80127242,0.07869706,0.78309013,0.06391086
600,0.76468577,0.02619928,0.73306409,0.03324307,0.74790797,0.03110341,0.73978394,0.02066576
700,0.63337467,0.03209492,0.61269847,0.01723234,0.63655875,0.02210855,0.62337021,0.0284629
800,0.54323149,0.02033056,0.5211967,0.01728448,0.52484248,0.02265474,0.51711631,0.02774704
900,0.42527291,0.02438077,0.41745639,0.02002076,0.42430658,0.02630771,0.40948581,0.02112749
1000,0.34767809,0.01836191,0.34864218,0.02426136,0.35093463,0.01839339,0.34615918,0.02107644
1100,0.2955653,0.01899342,0.29021026,0.0149833,0.29742017,0.01655536,0.29335752,0.01420944
1200,0.26771246,0.01631803,0.26228649,0.01239769,0.26999939,0.013944,0.26449697,0.01609622
