timeahead,1:1,1:1_std,balanced,balanced_std,1:10,1:10_std,1:50,1:50_std
300,0.88423475,0.06822475,0.99949408,0.00083458,0.98441937,0.01162209,0.99821668,0.001735
400,0.91649348,0.01860006,0.99661361,0.00345245,0.9856968,0.00940256,0.99709642,0.00244927
500,0.89636139,0.03954533,0.99121757,0.00409767,0.97635506,0.01693468,0.99642928,0.00203705
600,0.85998371,0.03097862,0.98679571,0.00528189,0.96881234,0.00841092,0.99150755,0.00342952
700,0.80389773,0.04579685,0.97675733,0.00713672,0.95693422,0.01014502,0.98708165,0.00646504
800,0.76580554,0.03076247,0.96568193,0.00604505,0.94200015,0.00957366,0.9826418,0.00592217
900,0.72074069,0.03131638,0.94857827,0.0103977,0.92335048,0.01000316,0.97669457,0.00636259
1000,0.65471876,0.02298113,0.92835406,0.00849579,0.90169814,0.00908275,0.96968777,0.00503598
1100,0.57727685,0.04701264,0.90681253,0.01020818,0.87753273,0.01686103,0.96452417,0.00599926
1200,0.55465975,0.02793836,0.89666061,0.01078429,0.87960414,0.01335284,0.96461643,0.00397021
