Train_scale,Time_advanced,Weights,Accuracy,Precision,Recall
500ms,500,1',98.46,74.51,74.14
500ms,500,10',97.62,56.22,94.68
500ms,500,50',96.09,43.28,96.73
500ms,700,1',96.91,62.5,6.74
500ms,700,10',93.13,29.13,81.02
500ms,700,50',81.65,14.37,96.17
500ms,900,1',96.74,59.04,3.78
500ms,900,10',89.76,17.83,58.05
500ms,900,50',68.85,8.86,90.66
500ms,1100,1',96.58,0,0
500ms,1100,10',92.48,20.07,40.22
500ms,1100,50',58.5,6.96,90.06
500ms,1300,1',96.49,0,0
500ms,1300,10',91.23,17.37,39.82
500ms,1300,50',45.17,5.51,90.5
1000ms,500,1',98.02,76.9,92.66
1000ms,500,10',96.53,62.84,96.41
1000ms,500,50',93.14,45.71,97.78
1000ms,700,1',95.4,64.56,47.2
1000ms,700,10',90.43,37.18,90.25
1000ms,700,50',82.47,24.9,97.08
1000ms,900,1',94.27,54.76,18.35
1000ms,900,10',85.15,25.32,75.64
1000ms,900,50',66.3,14.5,94.16
1000ms,1100,1',93.97,49.02,6.06
1000ms,1100,10',85.77,23.43,58.14
1000ms,1100,50',51.58,10.5,92.06
1000ms,1300,1',93.95,52,3.91
1000ms,1300,10',80.62,18.67,63.94
1000ms,1300,50',47.92,9.75,90.17
1500ms,500,1',98.48,83.11,94.33
1500ms,500,10',96.92,67.75,97.67
1500ms,500,50',94.66,54.58,97.92
1500ms,700,1',95.59,67.77,62.77
1500ms,700,10',91.76,44.17,91.04
1500ms,700,50',83,27.84,97.01
1500ms,900,1',93.91,60.95,27.66
1500ms,900,10',86.17,30.04,77.38
1500ms,900,50',72.57,18.98,92.17
1500ms,1100,1',93.32,17.55,55.83
1500ms,1100,10',80.2,22.63,75.19
1500ms,1100,50',55.2,12.82,92.58
1500ms,1300,1',93.03,56.78,8.61
1500ms,1300,10',79.13,21.19,69.89
1500ms,1300,50',53.26,12.4,90.65
2000ms,500,1',97.83,89.72,94.77
2000ms,500,10',97.27,85.05,97.27
2000ms,500,50',95.37,75.96,98.44
2000ms,700,1',93.55,76.3,81.69
2000ms,700,10',91.24,64.17,93.25
2000ms,700,50',86.69,53.12,96.35
2000ms,900,1',89.92,62.24,67.82
2000ms,900,10',81.86,45.33,89.52
2000ms,900,50',72.18,35.12,95.84
2000ms,1100,1',88.49,69.44,45.42
2000ms,1100,10',74.07,36.41,88.5
2000ms,1100,50',59.09,26.98,94.62
2000ms,1300,1',87.24,66.99,36.71
2000ms,1300,10',67.52,31.3,87.63
2000ms,1300,50',49.76,23.52,96.03
